Category,Retailer,Group/Owner,Specialty/Note,Footprint,Website
National Sporting Goods Chain,Sportsmans Warehouse,Holdsport (Frasers Group UK),SA's largest sports retailer,46+ stores SA + Namibia,sportsmanswarehouse.co.za
National Sporting Goods Chain,Outdoor Warehouse,Holdsport (Frasers Group UK),Outdoor camping cooking offroad hiking,26 stores nationwide,outdoorwarehouse.co.za
National Sporting Goods Chain,Totalsports,TFG (The Foschini Group),Sportswear + equipment - fitness key pillar,200+ stores SA,totalsports.co.za
National Sporting Goods Chain,Cape Union Mart,Cape Union Mart Group,Outdoor + active lifestyle,200+ stores SA/Namibia/Botswana,capeunionmart.co.za
National Sporting Goods Chain,Mr Price Sport,Mr Price Group,Sub-brands Maxed/Maxed Elite/Maxed Terrain,Nationwide,mrpsport.com
National Sporting Goods Chain,Decathlon South Africa,Decathlon Group (France),Sports Hub format expanding,Multi-store JHB+CT,decathlon.co.za
National Sporting Goods Chain,Sportscene,TFG,Street-style sportswear (Nike Jordan adidas PUMA Vans),Nationwide,bash.com/sportscene
National Sporting Goods Chain,Tekkie Town,Pepkor Trading,Sneakers + footwear,400+ stores SA/Lesotho/Namibia,tekkietown.co.za
National Sporting Goods Chain,Side Step,Independent,Design footwear,SA + Namibia,side-step.co.za
National Sporting Goods Chain,Tenth Mega Sports Store,Independent,Sports hub + team kits + trophies + printing,Online + retail,tenthsports.co.za
National Sporting Goods Chain,SNT Sports,Independent (licensed distributor),adidas combat/fitness Reebok fitness Pele Easton Louisville,Online + wholesale,sntsports.co.za
National Sporting Goods Chain,SportSA,Independent,Equipment clothing accessories,Online,sportsa.co.za
National Sporting Goods Chain,Everest Sports,Independent,Equipment gym corporate sportswear,SA + neighbouring countries,everestsports.co.za
National Sporting Goods Chain,XCO Sport,Independent (est 1987),Largest institutional wholesale network in Africa,National + Federations,xco.co.za
National Sporting Goods Chain,Sports Dynamix,Independent (est 2005),Online sports store,Online,sportsdynamix.co.za
National Sporting Goods Chain,Boardriders SA,LA Group,Quiksilver/Billabong/Roxy/DC/RVCA licensee,32+ freestanding stores,boardriders.co.za
National Sporting Goods Chain,Morkel Sport,Independent,Cricket rugby hockey + general,National,morkelsport.co.za
National Sporting Goods Chain,Sports24seven,Independent,Online padel and more,Online,sports24seven.co.za
National Sporting Goods Chain,Sport Supplies,Independent,Apparel + equipment,Online,sportsupplies.co.za
National Sporting Goods Chain,Sportz Fusion,Independent,Sports equipment,Online + retail,sportzfusion.co.za
Specialist Gym/Fitness,MiFitness,MiFitness International,Largest fitness equipment stockholder in SA,Sunninghill JHB + N Riding + CT,mifitness.co.za
Specialist Gym/Fitness,Fitness Network,Independent (acquired Gym Africa Oct 2025),Online + showrooms,Bryanston JHB + Walmer Gqeberha,fitnessnetwork.co.za
Specialist Gym/Fitness,Gym Africa,Under Fitness Network,Equipment + facility design,Honeydew JHB,gymafrica.co.za
Specialist Gym/Fitness,REBEL Elite Fitness,Independent,Functional fitness specialist,Germiston JHB,rebelstore.co.za
Specialist Gym/Fitness,Gym Concepts,Independent,Commercial gym design + supply,National,gymconcepts.com
Specialist Gym/Fitness,Fizique Sport,Independent (manufacturer),Largest local manufacturer functional training,Randburg,fizique.co.za
Specialist Gym/Fitness,RXtreme,Independent,HIIT CrossFit functional specialist,Northriding JHB,rxtreme.co.za
Specialist Gym/Fitness,Fitness Breakthru,Independent,24+ years SA's most-reviewed,Gqeberha (PE),gymequipment.co.za
Specialist Gym/Fitness,Gym Gear,Independent,Premium home + commercial,Walmer Gqeberha,gymgear.co.za
Specialist Gym/Fitness,Gym Experts,Independent,New + pre-owned + servicing,Randburg,gymexperts.co.za
Specialist Gym/Fitness,Holistic Gym Systems,Independent,Affordable home + commercial,National,holisticgym.co.za
Specialist Gym/Fitness,Matrix Fitness SA,Johnson Health Tech subsidiary,Commercial premium,Johannesburg,matrixfitness.co.za
Specialist Gym/Fitness,MaxFit SA,Independent,Trusted by 2000+ gyms,National,maxfitsa.co.za
Specialist Gym/Fitness,Express Fitness,Independent,Premium home + commercial,National,expressfitness.co.za
Specialist Gym/Fitness,Fitness World WC,Independent,Western Cape regional,Cape Town,fitnessworldwc.co.za
Specialist Gym/Fitness,Gymstore,Independent,Trusted by leading SA gyms,National,gymstore.co.za
Specialist Gym/Fitness,Trojan Health & Fitness,Massmart house brand,Exclusive to Game + Makro since 1981,National via Massmart,trojanhealth.co.za
Specialist Gym/Fitness,Technogym South Africa,Technogym Italy,Premium global brand,National,technogym.com/en-ZA
Specialist Gym/Fitness,Progym Solutions,Independent,Functional + pilates/yoga,Online,progymsolutions.co.za
Specialist Gym/Fitness,Evolve Health & Fitness,Independent,Hammer Strength stockist,National,evolvefitness.co.za
Specialist Gym/Fitness,All Out Fitness,Independent,Repairs + sales,National,alloutfitness.co.za
Running Specialty,The Sweat Shop,Independent (since 1976),SA's largest running specialist + gait analysis,Claremont CT + JHB,thesweatshop.co.za
Running Specialty,RUN Specialist Store,Independent (est 2015),Multiple CT locations,Newlands/Bree/Bellville CT,runstore.co.za
Running Specialty,Run-A-Way Sport,Independent (28+ yrs),Running shoes + apparel,Multi-branch,runawaysport.co.za
Running Specialty,Run Collective,Independent,Online + retail,SA,runcollective.co.za
Running Specialty,Runner's World retail partners,Magazine network,Curated specialist network,National,runnersworld.co.za
Cycling,Cycle Lab,MoreCorp group,SA's largest cycling chain - 7 megastores,Fourways/Cornubia/Boksburg/Pretoria/CT,cyclelab.com
Cycling,Linden Cycles,Independent,MTB + commuter + accessories,Johannesburg,lindencycles.co.za
Cycling,Bike Hub,Online marketplace,New + preloved bikes/components,Online,bikehub.co.za
Cycling,Bicycle Couriers,Independent (national locator),National store-locator network,National,bicyclecouriers.co.za
Outdoor/Adventure,Outdoor Warehouse,Holdsport,Widest range camping hiking 4x4,26 stores,outdoorwarehouse.co.za
Outdoor/Adventure,Drifters Adventure Centre,Independent,Premier climbing/mountaineering,Sandton JHB,driftersshop.co.za
Outdoor/Adventure,Mountain Mail Order,Independent,10000+ outdoor SKUs mail-order,Online,mountainmailorder.co.za
Outdoor/Adventure,Camp & Climb,Independent,Camping + climbing,National,campandclimb.co.za
Outdoor/Adventure,Trappers Trading,Independent (since 1977),Outdoor goods,National,trappers.co.za
Outdoor/Adventure,Ram Mountaineering,Distributor + retail,Climbing/mountaineering,National,rammountain.co.za
Outdoor/Adventure,Live Africa,Independent,Outdoor + watersports,National,liveafrica.co.za
Outdoor/Adventure,Vanhunks Outdoor,Independent,SUP kayaks soft surfboards camping,National,vanhunksoutdoor.co.za
Outdoor/Adventure,Wildman Hunting & Outdoor,Independent,Outdoor + hunting,National,wildmanhuntingandoutdoor.com
Watersports,WaterSports Mania,Independent,Largest online watersports superstore,Online,watersportsmania.co.za
Watersports,Watersports Warehouse,Independent,Kitesurf waterski wakeboard hydrofoil,National,watersportswarehouse.co.za
Watersports,Wetsuit Warehouse,Independent,Surf dive skate gear,National,wetsuitwarehouse.co.za
Watersports,Boardriders SA,LA Group,Surf brand stores,32+ stores,boardriders.co.za
Watersports,Komsurf,Independent,Surf skate lifestyle,SA,komsurf.com
Watersports,OriginBoardshop,Independent,Skate/surf/sport brands,Online,originboardshop.com
